KKUPL01,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,With Period Beginning Balance,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
1-17-17001-3201011600-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-สำนักเทคโนโลยีดิจิทัล-หน่วยงานภายใต้สำนักเทคโนโ-บัญชีทุนสำรองสะสม \- สำนัก-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,37387779.94,,0,37387779.94,,0,0,,0,0,0,,37387779.94,0,37387779.94
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201011600.0,,,,0,,37387779.94,0.0,,37387779.94,0.0,,0,0.0,,0,0,,37387779.94,0,37387779.94
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201011700 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year Beginning Balances,,,Net Beginning Balances,,,Prior Periods,,,Period Activity,,Ending Balances,,,Net Ending Balances,
Account,,,Account Description,,,,Debit,Credit,,Debit,Credit,,Debit,Credit,,Debit,Credit,Debit,,Credit,Debit,Credit
1-18-18001-3201011700-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะสัตวแพทยศาสตร์-หน่วยงานภายใต้คณะสัตวแพทย-บัญชีทุนสำรองสะสม \- คณะสั-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,64890302.94,,0,64890302.94,,0,0,,0,0,0,,64890302.94,0,64890302.94
,,,,,,,,,,,,,,,,,,,,,, 
1-40-C8021-3201011700-02-0000-0000-000000-000000-0-2567,,,มหาวิทยาลัยขอนแก่น-คณะสัตวแพทยศาสตร์ \- โรงพย-โรงพยาบาลสัตว์-บัญชีทุนสำรองสะสม \- คณะสั-งบประมาณเงินรายได้-ค่าเริ่มต้น \- Default Val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-ค่าเริ่มต้น \- Default val-Global Consolidated Paren-Budget Period 2567,,,,0,38060072.08,,0,38060072.08,,0,0,,0,0,0,,38060072.08,0,38060072.08
,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,
Total for Account Segment,,3201011700.0,,,,0,,102950375.02,0.0,,102950375.02,0.0,,0,0.0,,0,0,,102950375.02,0,102950375.02
,,,,,,,,,,,,,,,,,,,,,, 
Account Segment,,,,,,3201011800 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
